resample,fb_multiplier,greedy_net_r,f1_net_r,greedy_net_0,f1_net_0,nominal_gain_ils,honest_gain_ils,nominal_gain_pct,honest_gain_pct
139,1.0,18713555.055008173,19201002.35693493,18452601.398437113,19024982.611155387,487447.30192675814,572381.2127182744,2.604781937445425,3.101899837096972
140,1.0,18832902.037168242,19338564.965023965,18708830.245267585,19195283.21725387,505662.9278557226,486452.97198628634,2.684997388388451,2.600124997709758
141,1.0,17628659.157958075,18192413.57165522,18271297.77299966,19001564.518080465,563754.4136971459,730266.7450808063,3.1979426719056576,3.9967973493374687
142,1.0,19312853.54095248,19772859.621314123,18462871.957067035,18992793.52426167,460006.08036164194,529921.5671946332,2.3818649035276387,2.870201171447734
143,1.0,18631798.437062316,19108992.876726486,18608886.99662836,19118152.010664523,477194.43966417015,509265.0140361637,2.5611829221753304,2.736676374725875
144,1.0,19201559.89041512,19624028.431652248,18659283.178561363,19104766.836510934,422468.54123712704,445483.65794957057,2.2001782336861675,2.387463943209835
145,1.0,18319638.58249632,18806976.33334753,18619951.78482422,19144791.91229122,487337.7508512102,524840.1274670027,2.6601930417821773,2.8186975644843617
146,1.0,17612913.205335636,18098567.33297108,18456291.36067535,19078691.243188635,485654.12763544545,622399.8825132847,2.7573753528083134,3.372291162673268
147,1.0,19422655.383184236,19860025.159853783,18445653.711651944,18954388.826165713,437369.77666954696,508735.11451376975,2.2518536628529864,2.7580216047990027
148,1.0,18320086.98070937,18800527.79915793,18624363.069000047,19149203.19646705,480440.81844855845,524840.1274670027,2.622481099322572,2.8180299402592226
149,1.0,17655905.152727466,18143026.496966183,18465326.75494659,19084424.02330636,487121.3442387171,619097.2683597691,2.758971233845052,3.352755554103163
150,1.0,18477336.12364836,18996130.596327003,18456734.351487458,19062664.71108858,518794.4726786427,605930.3596011214,2.8077341301090453,3.28297708609697
151,1.0,19203359.524719562,19657313.482894897,18721677.019523315,19173651.44426357,453953.9581753351,451974.4247402549,2.3639299029473566,2.4141770220099805
152,1.0,18649180.149325483,19153542.975085866,18479598.87870183,19047556.32865482,504362.82576038316,567957.4499529898,2.704477203404705,3.073429535354115
153,1.0,19495501.951036505,19937000.91939844,18634760.02557703,19080243.6835266,441498.9683619328,445483.65794957057,2.2646196516035837,2.390605821261581
154,1.0,18594533.49020361,19028469.873842046,18671240.173090003,19145223.71870184,433936.3836384341,473983.545611836,2.333677173815897,2.5385755912184482
155,1.0,19421166.39326154,19906118.641877487,18457268.370722756,18987189.93791739,484952.2486159466,529921.5671946332,2.497029471845769,2.871072558251383
156,1.0,18356923.800810285,18801781.167942125,18460487.802805204,19032869.015523482,444857.36713184044,572381.2127182782,2.4233764434551075,3.1005746913757104
157,1.0,17740912.80552811,18230156.624791265,18503328.61591407,19103719.377555773,489243.8192631528,600390.7616417035,2.7577150320625172,3.2447716521952072
158,1.0,17067115.68892557,17510308.18650166,18070129.91350748,18749692.92784782,443192.4975760877,679563.0143403411,2.5967627199226424,3.7606980004740618
159,1.0,19088867.449371777,19556793.484661512,18475985.58659234,19005907.153786972,467926.0352897346,529921.5671946332,2.4513032872735163,2.868163999755374
160,1.0,17221455.783324018,17714082.882524878,18169082.705814887,18889880.25543461,492627.09920085967,720797.5496197231,2.8605427171719318,3.9671653285448305
161,1.0,19130918.790584523,19620546.76847105,18498882.72889726,19028804.296091884,489627.9778865278,529921.5671946257,2.559354222587068,2.8646139064757183
162,1.0,18532354.19109173,18957033.554656997,18675937.706179753,19149921.25179159,424679.36356526613,473983.545611836,2.291556481094043,2.5379370667690635
163,1.0,18172891.338001326,18650086.112283118,18601443.770024776,19148293.018363357,477194.77428179234,546849.2483385801,2.6258604941082244,2.9398215272934793
164,1.0,18779740.66010321,19306340.62434312,18313602.914926723,18980100.15930021,526599.9642399102,666497.2443734892,2.804085390586092,3.6393562068021716
165,1.0,18116102.185368672,18599351.244193718,18608238.778369572,19155088.026708156,483249.0588250458,546849.2483385839,2.6675112222282458,2.9387480182930994
166,1.0,18598702.294088904,19066175.90616946,18608886.99662836,19118152.010664523,467473.6120805554,509265.0140361637,2.513474352611845,2.736676374725875
167,1.0,18696050.57909542,19236388.606128857,18465077.973648354,19071008.333249472,540338.027033437,605930.3596011177,2.8901185560420135,3.281493641488247
