Unnamed: 0,Campaign,Channel,Last_dt,Start time,Duration,Spot type,Promotion,Pos. Block 1,Spots Block 1,Title,TVR,Date_dt,Start_dt,End_dt,hour_of_day,quarter_id,advertiser_id,break_id,position_in_break,channel,base_rate,prime_premium,pos1,pos2,pos3,pos_last,adv_premium,position_premium,total_premium,revenue_ils,is_target_channel,include_as_media,competitor_flag
141,רוש פרמצבטיקה עיניים (יוני 2023),קשת 12,02/11/2024,,31,פרסומת,ספוט,10,11,,,,,,,,רוש,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
142,מאקו V1 (יוני 2024),קשת 12,02/11/2024,,31,פרסומת,ספוט,99,11,,,,,,,,מאקו,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
143,12+ קמפיין אפליקציה,קשת 12,02/11/2024,,7,פרומו,פרומו,0,0,,,,,,,,12+,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
144,פ-אולפן שישי קשת,קשת 12,02/11/2024,,35,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
145,2024-05 - זכותי — מחליפה סיעודי חסות עדויות,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
146,Reckitt Benckiser Nurofen Non Stop Day 6sec,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,Reckitt,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
147,2024-05 - זכותי — מחליפה סיעודי חסות עדויות,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
148,Reckitt Benckiser Nurofen Non Stop Day 6sec,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,Reckitt,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
149,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,,41,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
150,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,חסות,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
151,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,חסות,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
152,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,חסות,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
153,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,חסות,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
154,2024-10 - מפעל הפיס — קמפיין חכם,קשת 12,02/11/2024,,52,פרסומת,ספוט,1,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
155,2024-08 - לוריאל - רויטליפט — רויטליפט לייזר פילר,קשת 12,02/11/2024,,21,פרסומת,ספוט,2,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
156,"2024-10 - קופ""ח כללית - כללית — רופא ילדים און-ליין",קשת 12,02/11/2024,,67,פרסומת,ספוט,3,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
157,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,,15,פרסומת,ספוט,4,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
158,2024-10 - משרד הביטחון - אגף שיקום מיצוי זכויות,קשת 12,02/11/2024,,37,פרסומת,ספוט,5,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
159,2024-05 - משולחן לשולחן לקט ישראל - לקט ישראל,קשת 12,02/11/2024,,20,פרסומת,ספוט,6,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
160,2024-10 - קרביץ — קרביץ- מבצע סטודנטים,קשת 12,02/11/2024,,8,פרסומת,ספוט,7,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
161,2024-09 - רשת דינמיקה - דינמיקה סלולר,קשת 12,02/11/2024,,36,פרסומת,ספוט,99,8,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
162,פ-הכוכב הבא 11,קשת 12,02/11/2024,,60,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
163,2024-10 - גוגל — - שופינג איי אל,קשת 12,02/11/2024,,15,פרסומת,ספוט,1,9,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
164,2024-02 - אול'גובס - אולג'ובס — קמפיין מחפשי עבודה - פברואר,קשת 12,02/11/2024,,25,פרסומת,ספוט,2,9,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
165,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,,28,פרסומת,ספוט,3,9,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
