cap,fill,L,offset,billed_per_break_minute,mean_affected_windows,n_affected_windows,end_offset_in_window
as_measured,recovered,7,0,0.9604572758379738,0.9604572758379738,1,6
as_measured,recovered,7,1,0.9597586575515901,0.9597586575515901,1,7
as_measured,recovered,7,2,0.9590154386971648,0.9590154386971648,1,8
as_measured,recovered,7,3,0.9589425712580353,0.9589425712580354,1,9
as_measured,recovered,7,4,0.9599087194477686,0.9599087194477687,1,10
as_measured,recovered,7,5,0.9609522635803228,0.9609522635803228,1,11
as_measured,recovered,7,6,0.9621565592759679,0.9621565592759679,1,12
as_measured,recovered,7,7,0.9644754695306396,0.9644754695306396,1,13
as_measured,recovered,7,8,0.9679713662193379,0.9679713662193379,1,14
as_measured,recovered,7,9,0.9753887546007484,0.9813465320671839,2,0
as_measured,recovered,7,10,0.980452380431141,0.9813465320671839,2,1
as_measured,recovered,7,11,0.9819246007486706,0.9813465320671839,2,2
as_measured,recovered,7,12,0.9799616103311646,0.9813465320671838,2,3
as_measured,recovered,7,13,0.9750893116913363,0.9813465320671838,2,4
as_measured,recovered,7,14,0.9674112988302866,0.9806902242635877,2,5
