channel,channel_name,start_min,end_min,break_seconds,len_min,num_spots,program_type,break_position,break_length,ordinal,prog_key,gap_prev_min,gap_next_min,measured,title,shed
כאן 11,Other_last_standard,2024-11-26 02:24:00,2024-11-26 02:27:00,132.0,2.2,3,Other,last,standard,2.0,"('כאן 11', '2024-11-26', 7)",18.0,57.0,1,חברים מופלאים ש.ח,-0.018586139053708983
כאן 11,Other_last_standard,2024-11-26 03:24:00,2024-11-26 03:26:00,131.0,2.183333333333333,3,Other,last,standard,1.0,"('כאן 11', '2024-11-26', 10)",57.0,39.0,1,זמן אמת עונה 8 ש.ח,-0.35786118369823866
כאן 11,Other_middle_standard,2024-11-26 04:05:00,2024-11-26 04:07:00,141.0,2.35,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-26', 14)",39.0,13.0,1,הטיול הגדול - The Great Way ש.ח,0.09402894964827639
כאן 11,Other_last_short,2024-11-26 04:20:00,2024-11-26 04:22:00,76.0,1.2666666666666666,2,Other,last,short,2.0,"('כאן 11', '2024-11-26', 14)",13.0,56.0,1,הטיול הגדול - The Great Way ש.ח,-0.023530497410194272
כאן 11,Other_middle_short,2024-11-26 05:18:00,2024-11-26 05:19:00,85.0,1.4166666666666667,2,Other,middle,short,1.0,"('כאן 11', '2024-11-26', 18)",56.0,18.0,1,טיול אחרי צבא עונה 2 ש.ח,0.13497543619675628
כאן 11,Other_last_short,2024-11-26 05:37:00,2024-11-26 05:38:00,76.0,1.2666666666666666,2,Other,last,short,2.0,"('כאן 11', '2024-11-26', 18)",18.0,407.0,1,טיול אחרי צבא עונה 2 ש.ח,0.24487953321702016
כאן 11,PrimeShow1_middle_standard,2024-11-26 12:25:00,2024-11-26 12:28:00,157.0,2.6166666666666667,4,PrimeShow1,middle,standard,1.0,"('כאן 11', '2024-11-26', 27)",407.0,18.0,1,חברים מופלאים ש.ח,-0.6006568554226541
כאן 11,PrimeShow1_last_standard,2024-11-26 12:46:00,2024-11-26 12:48:00,146.0,2.433333333333333,4,PrimeShow1,last,standard,2.0,"('כאן 11', '2024-11-26', 27)",18.0,46.0,1,חברים מופלאים ש.ח,-0.6188492568433007
כאן 11,Other_middle_standard,2024-11-26 13:34:00,2024-11-26 13:37:00,158.0,2.6333333333333333,4,Other,middle,standard,1.0,"('כאן 11', '2024-11-26', 33)",46.0,10.0,1,שלושה שירים שלושה סיפורים ש.ח,0.13194534946888803
כאן 11,Other_last_standard,2024-11-26 13:47:00,2024-11-26 13:49:00,163.0,2.716666666666667,4,Other,last,standard,2.0,"('כאן 11', '2024-11-26', 33)",10.0,43.0,1,שלושה שירים שלושה סיפורים ש.ח,-0.6222349226871902
כאן 11,PrimeShow1_last_standard,2024-11-26 14:32:00,2024-11-26 14:34:00,129.0,2.15,4,PrimeShow1,last,standard,1.0,"('כאן 11', '2024-11-26', 37)",43.0,56.0,1,הבלתי חשובים ש.ח,-0.03751196012691382
כאן 11,Other_first_short,2024-11-26 15:30:00,2024-11-26 15:30:00,12.0,0.2,2,Other,first,short,1.0,"('כאן 11', '2024-11-26', 44)",56.0,19.0,1,מיוחד-מלחמה בדרום - חרבות ברזל - צהריים מאוחרת ע.כאן,-0.8200372121783114
כאן 11,Other_middle_short,2024-11-26 15:49:00,2024-11-26 15:50:00,40.0,0.6666666666666666,2,Other,middle,short,1.0,"('כאן 11', '2024-11-26', 45)",19.0,21.0,1,סיפורים מהכורסה עונה 2 ש.ח,0.202623512589782
כאן 11,Other_first_standard,2024-11-26 16:11:00,2024-11-26 16:14:00,156.0,2.6,8,Other,first,standard,1.0,"('כאן 11', '2024-11-26', 47)",21.0,27.0,1,משחקי הכיס עם ליאל קייזר,0.6276277863667822
כאן 11,Other_last_standard,2024-11-26 16:41:00,2024-11-26 16:44:00,169.0,2.816666666666667,6,Other,last,standard,2.0,"('כאן 11', '2024-11-26', 47)",27.0,34.0,1,משחקי הכיס עם ליאל קייזר,0.12574627258230053
כאן 11,News_middle_standard,2024-11-26 17:18:00,2024-11-26 17:21:00,177.0,2.95,8,News,middle,standard,1.0,"('כאן 11', '2024-11-26', 50)",34.0,19.0,1,העולם היום,-0.02361343196658354
כאן 11,News_last_standard,2024-11-26 17:40:00,2024-11-26 17:42:00,142.0,2.3666666666666667,8,News,last,standard,2.0,"('כאן 11', '2024-11-26', 50)",19.0,30.0,1,העולם היום,0.4994005217617176
כאן 11,News_first_standard,2024-11-26 18:12:00,2024-11-26 18:15:00,150.0,2.5,7,News,first,standard,1.0,"('כאן 11', '2024-11-26', 53)",30.0,22.0,1,כאן בשש,0.37638445307377444
כאן 11,News_last_standard,2024-11-26 18:37:00,2024-11-26 18:40:00,153.0,2.55,6,News,last,standard,2.0,"('כאן 11', '2024-11-26', 53)",22.0,204.0,1,כאן בשש,-0.266805804896869
כאן 11,News_last_short,2024-11-26 22:04:00,2024-11-26 22:05:00,59.0,0.9833333333333333,3,News,last,short,1.0,"('כאן 11', '2024-11-26', 58)",204.0,0.0,0,,
כאן 11,News_last_short,2024-11-26 22:05:00,2024-11-26 22:06:00,65.0,1.0833333333333333,4,News,last,short,2.0,"('כאן 11', '2024-11-26', 58)",0.0,16.0,0,,
כאן 11,Other_middle_long,2024-11-26 22:22:00,2024-11-26 22:26:00,246.0,4.1,15,Other,middle,long,1.0,"('כאן 11', '2024-11-26', 61)",16.0,30.0,1,קופה ראשית עונה 5,0.02454970323789435
כאן 11,News_middle_standard,2024-11-26 22:56:00,2024-11-26 22:58:00,145.0,2.4166666666666665,8,News,middle,standard,1.0,"('כאן 11', '2024-11-26', 63)",30.0,30.0,1,חדשות הלילה עם עקיבא נוביק,0.3091083898274429
